# Download?,Date,KB number,Security bulletin,Component(s),Bits,Download ID,Direct link
# ,,,,,,, For Office Professional Plus 2010 - English (United States)
# ,,,,,,, Last updated: 2015-12-04 (2015-11 Patch Tuesday)
# ,,,,,,, THIS IS WORK IN PROGRESS AND NOT YET FINAL!!
Y1,2014-05,2825635,-,gkall,32,42927,https://download.microsoft.com/download/7/3/6/73669BA0-3B47-4F09-85F8-7B1A7AC66353/gkall2010-kb2825635-fullfile-x86-glb.exe
Y1,2014-05,2825635,-,gkall,64,42906,https://download.microsoft.com/download/4/8/F/48FE0525-9483-4B0C-8084-1AEE91DD0A56/gkall2010-kb2825635-fullfile-x64-glb.exe
N,2014-05,2878281,-,filterpack,32,42929,https://download.microsoft.com/download/4/E/5/4E566F54-336C-400E-B266-384BCE0EBC68/filterpack2010-kb2878281-fullfile-x86-glb.exe
N,2014-05,2878281,-,filterpack,64,42914,https://download.microsoft.com/download/1/C/3/1C354FF7-FC68-481D-A231-A1011055D985/filterpack2010-kb2878281-fullfile-x64-glb.exe
Y1,2014-05,2880971,MS14-024,msaddndr,32,42867,https://download.microsoft.com/download/D/0/3/D033D081-B90A-432E-A750-6C28B5210E48/msaddndr2010-kb2880971-fullfile-x86-glb.exe
Y1,2014-05,2880971,MS14-024,msaddndr,64,42840,https://download.microsoft.com/download/6/7/2/6726FA11-F4F5-4975-94EB-9D9B6A631D64/msaddndr2010-kb2880971-fullfile-x64-glb.exe
N,2014-05,2878284,MS14-023,proof,32,42794,https://download.microsoft.com/download/E/E/3/EE306CE7-DEEE-4FCD-9B38-570181111165/proofloc2010-kb2878284-fullfile-x86-glb.exe
N,2014-05,2878284,MS14-023,proof,64,42881,https://download.microsoft.com/download/A/5/1/A51AEFA2-D314-4A1E-AD01-5E2E3DBB759C/proofloc2010-kb2878284-fullfile-x64-glb.exe
Y1,2014-05,2810073,MS14-024,mscomctlocx,32,42879,https://download.microsoft.com/download/F/6/D/F6DA25E9-F9F2-4858-AD14-DA8917288F82/mscomctlocx2010-kb2810073-fullfile-x86-glb.exe
# ,,,,,,, There is no KB2810073 64-bit update.
N,2014-06,2863942,MS14-036,ogl,32,43337,https://download.microsoft.com/download/7/2/6/7263B7C1-CAB6-4D8D-81B0-0E2BBEE8235A/ogl2010-kb2863942-fullfile-x86-glb.exe
N,2014-06,2863942,MS14-036,ogl,64,43328,https://download.microsoft.com/download/7/6/E/76EFBD09-7C06-489C-B3E7-54F9A5AC35EB/ogl2010-kb2863942-fullfile-x64-glb.exe
N,2014-07,2878252,-,mso,32,43600,https://download.microsoft.com/download/6/D/D/6DDE4B0B-9033-4DE6-A56E-97143457DAEA/mso2010-kb2878252-fullfile-x86-glb.exe
N,2014-07,2878252,-,mso,64,43574,https://download.microsoft.com/download/0/2/0/02034B53-33BB-4893-88D8-8A85D060CB2C/mso2010-kb2878252-fullfile-x64-glb.exe
Y1,2014-08,2881071,MS14-036,usp10,32,43901,https://download.microsoft.com/download/9/0/C/90C4B6BE-DCDE-4808-A9FC-E85C12A40DD7/usp102010-kb2881071-fullfile-x86-glb.exe
Y1,2014-08,2881071,MS14-036,usp10,64,43899,https://download.microsoft.com/download/F/C/7/FC75138F-744F-405E-A5F3-A46AC19ECAE4/usp102010-kb2881071-fullfile-x64-glb.exe
N,2014-09,2889836,-,excel,32,44095,https://download.microsoft.com/download/B/A/9/BA992C28-CE00-483D-A5DC-A800BD985D8A/excel2010-kb2889836-fullfile-x86-glb.exe
N,2014-09,2889836,-,excel,64,44128,https://download.microsoft.com/download/9/B/2/9B2DEC40-DFBC-4C35-AE24-36B5A26C7D36/excel2010-kb2889836-fullfile-x64-glb.exe
N,2014-10,2883013,MS14-061,word,32,44416,https://download.microsoft.com/download/F/3/A/F3A3572E-2DA3-46BD-A13D-A9F74A69FFB8/word2010-kb2883013-fullfile-x86-glb.exe
N,2014-10,2883013,MS14-061,word,64,44371,https://download.microsoft.com/download/7/1/7/71716526-0223-4907-B844-D5D4D55B7BB9/word2010-kb2883013-fullfile-x64-glb.exe
N,2014-11,2889828,-,proof,32,44866,https://download.microsoft.com/download/3/6/A/36AC933C-52AC-45BA-8F74-5DE4962B31CD/proofloc2010-kb2889828-fullfile-x86-glb.exe
N,2014-11,2889828,-,proof,64,44876,https://download.microsoft.com/download/E/A/E/EAE0379B-B714-4BBE-A4D8-EE4B1D0B6CC7/proofloc2010-kb2889828-fullfile-x64-glb.exe
N,2015-03,2889839,MS15-022,oartconv,32,46142,https://download.microsoft.com/download/0/6/C/06C72302-053D-4A96-9B04-54E2DD31F92B/oartconv2010-kb2889839-fullfile-x86-glb.exe
N,2015-03,2889839,MS15-022,oartconv,64,46186,https://download.microsoft.com/download/F/9/8/F98EB29A-C0C4-47B7-A5FA-EC55CFB731BF/oartconv2010-kb2889839-fullfile-x64-glb.exe
N,2015-03,2883100,MS15-022,oart,32,46092,https://download.microsoft.com/download/1/2/C/12C18D93-4F9A-460E-8B98-824D9FFC04E4/oart2010-kb2883100-fullfile-x86-glb.exe
N,2015-03,2883100,MS15-022,oart,64,46192,https://download.microsoft.com/download/8/0/5/80561C90-595F-4B9A-893E-BFB9FDC2F261/oart2010-kb2883100-fullfile-x64-glb.exe
Y1,2015-07,2553347,-,ocfxca,32,48067,https://download.microsoft.com/download/1/8/4/184D3C44-7EFE-499D-B530-4D46A2CF5FE0/ocfxca2010-kb2553347-fullfile-x86-glb.exe
Y1,2015-07,2553347,-,ocfxca,64,48048,https://download.microsoft.com/download/E/6/1/E61D9E63-8589-4DB4-A1C4-E409FD8C7EB5/ocfxca2010-kb2553347-fullfile-x64-glb.exe
Y1,2015-11,3101540,-,outlfltr,32,49868,https://download.microsoft.com/download/D/2/2/D224224D-AA30-4AE8-86E6-034CA2109F5A/outlfltr2010-kb3101540-fullfile-x86-glb.exe
Y1,2015-11,3101540,-,outlfltr,64,49829,https://download.microsoft.com/download/7/9/2/792B4D48-50CD-4115-AB32-4BE6EB9251FB/outlfltr2010-kb3101540-fullfile-x64-glb.exe
Y1,2015-07,3001652,-,vstor,-,48217,https://download.microsoft.com/download/7/A/F/7AFA5695-2B52-44AA-9A2D-FC431C231EDC/vstor_redist.exe
# ,,,,,,, offered after sp2 is installed:
Y1,2014-11,2687275,-,graph,32,44851,https://download.microsoft.com/download/2/1/D/21DD717E-51AD-45B1-8ACC-4D171AC32A4A/graph2010-kb2687275-fullfile-x86-glb.exe
Y1,2014-11,2687275,-,graph,64,44842,https://download.microsoft.com/download/D/B/A/DBAC1377-506C-4B87-90E9-F1CEDFE406F6/graph2010-kb2687275-fullfile-x64-glb.exe
Y1,2014-11,2589386,-,gfonts,32,44797,https://download.microsoft.com/download/8/B/0/8B04E37D-B53E-4936-9C29-6F92F8EBC162/gfonts2010-kb2589386-fullfile-x86-glb.exe
Y1,2014-11,2589386,-,gfonts,64,44859,https://download.microsoft.com/download/7/A/1/7A17E78F-F286-4874-A4A0-C83B15A7B43B/gfonts2010-kb2589386-fullfile-x64-glb.exe
N1,2014-12,2553154,MS14-082,fm20,32,45224,https://download.microsoft.com/download/2/1/9/21974A99-AA0C-487D-937F-909326373094/fm202010-kb2553154-fullfile-x86-glb.exe
N1,2014-12,2553154,MS14-082,fm20,64,45210,https://download.microsoft.com/download/4/4/E/44E61C21-1BE4-46A2-BC08-742050407807/fm202010-kb2553154-fullfile-x64-glb.exe
Y1,2014-12,2553140,-,mstore,32,45235,https://download.microsoft.com/download/A/F/1/AF1033B5-1643-46BB-815A-67292A28A016/mstore2010-kb2553140-fullfile-x86-glb.exe
Y1,2014-12,2553140,-,mstore,64,45286,https://download.microsoft.com/download/8/6/B/86BA015D-898C-4D6F-B7F5-B658F49C3E17/mstore2010-kb2553140-fullfile-x64-glb.exe
Y1,2014-12,2883019,-,ospp,32,45232,https://download.microsoft.com/download/F/4/3/F432D5D7-4EEA-4EF5-933F-58B2177F479D/ospp2010-kb2883019-fullfile-x86-glb.exe
Y1,2014-12,2883019,-,ospp,64,45252,https://download.microsoft.com/download/6/1/9/61967A34-8C86-42C2-8285-60FD35D715CA/ospp2010-kb2883019-fullfile-x64-glb.exe
Y1,2015-02,2920748,MS15-013,otkruntimertl,32,45832,https://download.microsoft.com/download/4/B/C/4BC9CCA7-8EB6-42F4-81EA-9EA60D611202/otkruntimertl2010-kb2920748-fullfile-x86-glb.exe
Y1,2015-02,2920748,MS15-013,otkruntimertl,64,45813,https://download.microsoft.com/download/F/C/5/FC5C15DF-D7A3-459E-BCBD-AC6F279CBC42/otkruntimertl2010-kb2920748-fullfile-x64-glb.exe
